"Greenville, New Hampshire",town,"http://dbpedia.org/resource/Greenville,_New_Hampshire",-71.8122253418,42.7672233582
"Greenville, New Jersey",former township,"http://dbpedia.org/resource/Greenville,_Jersey_City",-74.0944442749,40.7002792358
"Greenville, Greene County, New York",town,"http://dbpedia.org/resource/Greenville_(town),_New_York",-74.0186080933,42.406665802
"Greenville, Orange County, New York",town,"http://dbpedia.org/resource/Greenville,_Orange_County,_New_York",-74.5833358765,41.3666648865
"Greenville, Westchester County, New York",CDP,"http://dbpedia.org/resource/Greenville,_Westchester_County,_New_York",-73.820274353,40.9988899231
"Greenville, North Carolina",city,"http://dbpedia.org/resource/Greenville,_North_Carolina",-77.3724975586,35.6016654968
"Greenville, Ohio",city,"http://dbpedia.org/resource/Greenville,_Ohio",-84.6280517578,40.1025009155
"Greenville, Pennsylvania",borough,"http://dbpedia.org/resource/Greenville,_Pennsylvania",-80.3866653442,41.4049987793
"Greenville, Rhode Island",CDP,"http://dbpedia.org/resource/Greenville,_Rhode_Island",-71.5533370972,41.8766670227
"Greenville, South Carolina",city,"http://dbpedia.org/resource/Greenville,_South_Carolina",-82.385559082,34.8444442749
"Greenville, Texas",city,"http://dbpedia.org/resource/Greenville,_Texas",-96.1097259521,33.1261100769
"Greenville, Utah",town,"http://dbpedia.org/resource/Greenville,_Utah",-112.7125015259,38.2544441223
"Greenville, Virginia",CDP,"http://dbpedia.org/resource/Greenville,_Virginia",-79.1580581665,38.0044441223
"Greenville, Logan County, West Virginia",CDP,"http://dbpedia.org/resource/Greenville,_Logan_County,_West_Virginia",-81.8716659546,37.7208328247
"Greenville, Monroe County, West Virginia",CDP,"http://dbpedia.org/resource/Greenville,_Monroe_County,_West_Virginia",-80.6825027466,37.5433349609
"Greenville, Wisconsin",CDP,"http://dbpedia.org/resource/Greenville,_Wisconsin",-88.5363922119,44.30027771
"Bristol, Colorado",Unincorporated community,"http://dbpedia.org/resource/Bristol,_Colorado",-102.3111114502,38.1222229004
"Bristol, Connecticut",City,"http://dbpedia.org/resource/Bristol,_Connecticut",-72.9405517578,41.6811103821
"Bristol, Florida",City,"http://dbpedia.org/resource/Bristol,_Florida",-84.9791641235,30.4269447327
"Bristol, Georgia",City,"http://dbpedia.org/resource/Bristol,_Georgia",-82.2144470215,31.4486103058
"Bristol, Illinois",Unincorporated community,"http://dbpedia.org/resource/Bristol,_Illinois",-88.4280548096,41.6855545044
"Bristol, Indiana",Town,"http://dbpedia.org/resource/Bristol,_Indiana",-85.8183364868,41.7211112976
"Bristol, Maryland",Unincorporated community,"http://dbpedia.org/resource/Bristol,_Maryland",-76.6722259521,38.7916679382
"Bristol, Maine",Town,"http://dbpedia.org/resource/Bristol,_Maine",-69.5091629028,43.9575004578
"Bristol, Minnesota",Township,"http://dbpedia.org/resource/Bristol_Township,_Fillmore_County,_Minnesota",-92.1666641235,43.5333328247
"Bristol, Nevada",Ghost town,http://dbpedia.org/resource/Bristol_Wells_Town_Site,-114.6949996948,38.1061096191
"Bristol, New Hampshire",Town,"http://dbpedia.org/resource/Bristol,_New_Hampshire",-71.7366638184,43.5911102295
"Bristol, New York",Town,"http://dbpedia.org/resource/Bristol,_New_York",-77.424446106,42.8197212219
"Bristol, Pennsylvania",Borough,"http://dbpedia.org/resource/Bristol,_Pennsylvania",-74.8513870239,40.1033325195
"Bristol Township, Pennsylvania",Township,"http://dbpedia.org/resource/Bristol_Township,_Bucks_County,_Pennsylvania",-74.8663864136,40.1166648865
"Bristol, Rhode Island",Town,"http://dbpedia.org/resource/Bristol,_Rhode_Island",-71.2686080933,41.6841659546
"Bristol, South Dakota",City,"http://dbpedia.org/resource/Bristol,_South_Dakota",-97.750831604,45.3452758789
"Bristol, Tennessee",City,"http://dbpedia.org/resource/Bristol,_Tennessee",-82.1886138916,36.5950012207
"Bristol, Vermont",Town,"http://dbpedia.org/resource/Bristol,_Vermont",-73.0794448853,44.1333351135
"Bristol, Virginia",City,"http://dbpedia.org/resource/Bristol,_Virginia",-82.1833343506,36.5999984741
"Bristol, Washington",Community,"http://dbpedia.org/resource/Bristol,_Washington",-120.7997894287,47.1472740173
"Bristol, Dane County, Wisconsin",Town,"http://dbpedia.org/resource/Bristol,_Dane_County,_Wisconsin",-89.1788864136,43.2458343506
"Bristol, Kenosha County, Wisconsin",Town,"http://dbpedia.org/resource/Bristol_(town),_Kenosha_County,_Wisconsin",-88.0491638184,42.5588874817
"Bristol, West Virginia",Town,"http://dbpedia.org/resource/Bristol,_West_Virginia",-80.5238876343,39.287776947
"Clinton, Arkansas",city,"http://dbpedia.org/resource/Clinton,_Arkansas",-92.4577789307,35.5863876343
"Clinton, Connecticut",town,"http://dbpedia.org/resource/Clinton,_Connecticut",-72.5274963379,41.2944450378
"Clinton, Illinois",city,"http://dbpedia.org/resource/Clinton,_Illinois",-88.9591674805,40.1522216797
"Clinton, Indiana",city,"http://dbpedia.org/resource/Clinton,_Indiana",-87.4058303833,39.6599998474
"Clinton, Iowa",city,"http://dbpedia.org/resource/Clinton,_Iowa",-90.2072219849,41.8469429016
"Clinton, Kentucky",city,"http://dbpedia.org/resource/Clinton,_Kentucky",-88.9941635132,36.6669425964
"Clinton, Louisiana",town,"http://dbpedia.org/resource/Clinton,_Louisiana",-91.0158309937,30.8630561829
"Clinton, Maine",town,"http://dbpedia.org/resource/Clinton,_Maine",-69.4997406006,44.6383666992
"Clinton, Maryland",CDP,"http://dbpedia.org/resource/Clinton,_Maryland",-76.8955535889,38.7636108398
